Date,Name,Year,Month,Day,Weekday,Types,IsObserved,Country,Locations,States
2022-01-01,"New Year's Day",2022,1,1,Sat,Local holiday,,United States,TX,Texas
2022-01-01,"New Year's Day",2022,1,1,Sat,Local holiday,,United States,"MA, MS, NY, WI","Massachusetts,Mississippi,New York,Wisconsin"
2022-01-01,"New Year's Day",2022,1,1,Sat,Local holiday,,United States,"All except MA, MS, NY, RI, TX, WI","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Maine,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Jersey,New Hampshire,New Mexico,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Utah,Vermont,Virginia,Washington,West Virginia,Wyoming"
2022-01-01,"New Year's Day",2022,1,1,Sat,National holiday,,United States,,
2022-01-01,"New Year's Day",2022,1,1,Sat,Local holiday,,United States,RI,Rhode Island
2022-01-03,"New Year's Day",2022,1,3,Mon,Local holiday,1,United States,RI,Rhode Island
2022-01-04,World Braille Day,2022,1,4,Tue,United Nations observance,,United States,,
2022-01-06,Epiphany,2022,1,6,Thu,Christian,,United States,,
2022-01-07,Orthodox Christmas Day,2022,1,7,Fri,Orthodox,,United States,,
2022-01-07,"International Programmers' Day",2022,1,7,Fri,Worldwide observance,,United States,,
2022-01-07,Estelle Reel Day,2022,1,7,Fri,Local observance,,United States,WY,Wyoming
2022-01-13,Stephen Foster Memorial Day,2022,1,13,Thu,Observance,,United States,,
2022-01-14,Orthodox New Year,2022,1,14,Fri,Orthodox,,United States,,
2022-01-16,World Religion Day,2022,1,16,Sun,Worldwide observance,,United States,,
2022-01-17,"Tu Bishvat/Tu B'Shevat",2022,1,17,Mon,Hebrew,,United States,,
2022-01-17,Martin Luther King Jr. Day,2022,1,17,Mon,National holiday,,United States,,
